index,date,weather,prob_of_precip,likely_snow,snow_level,wind,visibility,likely_snow_numeric,forecast_date,endpoint,forecast_type,extracted_date,level_0,max_temp,min_temp,snow_at_1800m,snow_at_1400m,snow_at_1000m,snow_at_1800m_percent,snow_at_1400m_percent,snow_at_1000m_percent
0,SunJun 13,Mostly cloudy. Possible snow showers,40%,<2cm,1600,NW,Poor,2,2021-06-13 00:00:00,PerisherHandler,14-day,2021-06-13 12:01:32.493321,,,,,,,,,
1,MonJun 14,Mostly cloudy. Possible snow showers,30%,<2cm,1600,SE to N,Fair,2,2021-06-14 00:00:00,PerisherHandler,14-day,2021-06-13 12:01:32.493321,,,,,,,,,
2,TueJun 15,Mostly sunny,10%,Nil,,NW/NE,Good,0,2021-06-15 00:00:00,PerisherHandler,14-day,2021-06-13 12:01:32.493321,,,,,,,,,
3,WedJun 16,"Mostly cloudy. Showers, mostly later. Snow in",80%,2-5cm,1600,NE,Fair,3.5,2021-06-16 00:00:00,PerisherHandler,14-day,2021-06-13 12:01:32.493321,,,,,,,,,
4,ThuJun 17,Cloudy. Snow,80%,5-10cm,1300,Fresh W,Fair,7.5,2021-06-17 00:00:00,PerisherHandler,14-day,2021-06-13 12:01:32.493321,,,,,,,,,
5,FriJun 18,Cloudy. Snow,80%,5-10cm,1300,SW,Fair,7.5,2021-06-18 00:00:00,PerisherHandler,14-day,2021-06-13 12:01:32.493321,,,,,,,,,
6,SatJun 19,Snow and rain easing,80%,2-5cm,1400,SW,Improving,3.5,2021-06-19 00:00:00,PerisherHandler,14-day,2021-06-13 12:01:32.493321,,,,,,,,,
7,SunJun 20,Mostly sunny,20%,Nil,,Fresh SW to NW,Good,0,2021-06-20 00:00:00,PerisherHandler,14-day,2021-06-13 12:01:32.493321,,,,,,,,,
8,MonJun 21,Mostly sunny,20%,Nil,,Fresh NW,Good,0,2021-06-21 00:00:00,PerisherHandler,14-day,2021-06-13 12:01:32.493321,,,,,,,,,
9,TueJun 22,Mostly sunny,20%,Nil,,Fresh NE to NW,Good,0,2021-06-22 00:00:00,PerisherHandler,14-day,2021-06-13 12:01:32.493321,,,,,,,,,
10,WedJun 23,Mostly sunny,20%,Nil,,Fresh NW,Good,0,2021-06-23 00:00:00,PerisherHandler,14-day,2021-06-13 12:01:32.493321,,,,,,,,,
11,ThuJun 24,Mostly cloudy,20%,Nil,,Fresh NW/SW,Fair,0,2021-06-24 00:00:00,PerisherHandler,14-day,2021-06-13 12:01:32.493321,,,,,,,,,
12,FriJun 25,Mostly cloudy. Snow showers,30%,<2cm,1100,Fresh SW,Fair,2,2021-06-25 00:00:00,PerisherHandler,14-day,2021-06-13 12:01:32.493321,,,,,,,,,
13,SatJun 26,Mostly cloudy. Snow showers,30%,<2cm,1100,Fresh SE to NW,Improving,2,2021-06-26 00:00:00,PerisherHandler,14-day,2021-06-13 12:01:32.493321,,,,,,,,,
0,MonJun 14,Mostly cloudy,20%,Nil,,SE  to NE,Improving,0,2021-06-14 00:00:00,PerisherHandler,14-day,2021-06-14 12:03:25.767651,,,,,,,,,
1,TueJun 15,Mostly sunny,10%,Nil,,NE,Good,0,2021-06-15 00:00:00,PerisherHandler,14-day,2021-06-14 12:03:25.767651,,,,,,,,,
2,WedJun 16,"Mostly cloudy. Showers, mostly later. Snow",90%,2-5cm,1600,NE,Fair,3.5,2021-06-16 00:00:00,PerisherHandler,14-day,2021-06-14 12:03:25.767651,,,,,,,,,
3,ThuJun 17,Cloudy. Snow showers,80%,5-10cm,1200,Fresh NW,Fair,7.5,2021-06-17 00:00:00,PerisherHandler,14-day,2021-06-14 12:03:25.767651,,,,,,,,,
4,FriJun 18,Cloudy. Snow showers,80%,5-10cm,1200,Fresh SW/S,Fair,7.5,2021-06-18 00:00:00,PerisherHandler,14-day,2021-06-14 12:03:25.767651,,,,,,,,,
5,SatJun 19,Mostly sunny,20%,Nil,,Fresh SE,Good,0,2021-06-19 00:00:00,PerisherHandler,14-day,2021-06-14 12:03:25.767651,,,,,,,,,
6,SunJun 20,Mostly sunny,20%,Nil,,SE,Good,0,2021-06-20 00:00:00,PerisherHandler,14-day,2021-06-14 12:03:25.767651,,,,,,,,,
